Claim Title	Claim	Verdict	Author	Domain
România se împrumută, astăzi, cu 4,55%. La 1 noiembrie, când era Teodorovici ministru de Finanţe, acesta s-a împrumutat cu 4,05%.	România se împrumută, astăzi, cu 4,55%. La 1 noiembrie, când era Teodorovici ministru de Finanţe, acesta s-a împrumutat cu 4,05%.	TRUNCHIAT	Daniel-Cătălin Zamfir	Finante
În Germania nu este incriminat abuzul în serviciu. Olanda nu incriminează abuzul în serviciu. Estonia a abrogat această infracțiune în 2007. Părerea mea personală e că trebuie să preluăm acest model și să abrogăm abuzul în serviciu. O să fac această propunere de abrogare. Dar, dacă insistați, să ne uităm la Austria care are prag de 40.000 de euro pentru abuzul în serviciu.	În Germania nu este incriminat abuzul în serviciu. Olanda nu incriminează abuzul în serviciu. Estonia a abrogat această infracțiune în 2007. Părerea mea personală e că trebuie să preluăm acest model și să abrogăm abuzul în serviciu. O să fac această propunere de abrogare. Dar, dacă insistați, să ne uităm la Austria care are prag de 40.000 de euro pentru abuzul în serviciu.	FALS	Oana Florea	Politica
"În anul 2014, investiţiile asumate de către Transelectrica nu au fost realizate decât în procent de 23%"""	"În anul 2014, investiţiile asumate de către Transelectrica nu au fost realizate decât în procent de 23%"""	FALS	Moţiune de cenzură	Politica
30 de ani, preşedintele Partidului Naţional Liberal, atunci când a pierdut alegerile, a demisionat. Este prima dată, în 30 de ani, când preşedintele partidului nu a plecat frumos de la conducerea partidului, cum a făcut şi Crin Antonescu, cum a făcut şi Valeriu Stoica, cum au făcut şi o mulţime de alţi preşedinţi ai PNL de-a lungul timpului.	Îl susţinem pe Florin Cîţu pentru o chestiune extrem de simplă: 30 de ani, preşedintele Partidului Naţional Liberal, atunci când a pierdut alegerile, a demisionat. Este prima dată, în 30 de ani, când preşedintele partidului nu a plecat frumos de la conducerea partidului, cum a făcut şi Crin Antonescu, cum a făcut şi Valeriu Stoica, cum au făcut şi o mulţime de alţi preşedinţi ai PNL de-a lungul timpului. Asta-i tot. Şi Theodor Stolojan, şi Alina Gorghiu, şi Vasile Blaga.	FALS	Rareș Bogdan	Politica
În anul în care s-a adoptat hotărârea de guvern, nu exista articolul care prevedea abuzul în serviciu.	În anul în care s-a adoptat hotărârea de guvern, nu exista articolul care prevedea abuzul în serviciu.	FALS	Alexandru Athanasiu	Justitie
"[...] mi-am amintit că noi, în Comisia LIBE, îl avem de la PNL/PPE şi pe colegul Rareş Bogdan, care a fost foarte vocal în aceste zile pe tema presupusei ""alianțe"" USR PLUS/AUR. [...] colegul Rareş - şi la plen colegii PNL - votează frecvent cot la cot cu extremiştii şi conservatorii europeni."""	…mi-am amintit că noi, în Comisia LIBE, îl avem de la PNL/PPE şi pe colegul Rareş Bogdan, care a fost foarte vocal în aceste zile pe tema presupusei “alianțe USR PLUS/AUR. Aliniamentul de vot în multe dintre dosarele LIBE (tradițional, practic), e PPE – ECR şi, mai nou, ID (destul de frecvent). Pe scurt, colegul Rareş – şi la plen colegii PNL –  votează frecvent cot la cot cu extremiştii şi conservatorii europeni. În configurația europeană, AUR e apropiat de ECR (conservatorii europeni), nu de extremişti (ID), iar discuții de afiliere cu ei s-au purtat încă de anul trecut (decembrie 2020).	PARȚIAL ADEVĂRAT	Ramona Strugariu	Politica
În ultimii patru ani, administrația liberală a dublat bugetul județului Sibiu.	În ultimii patru ani, administrația liberală a dublat bugetul județului Sibiu.	FALS	Nicolae Neagu	Finante
Eu nu am propus să fie grațiați corupții. Am văzut că proiectul de lege mi-ar aparține mie, că eu am făcut amendamente pentru a fi grațiați corupții. Repet, mi-e foarte greu să lupt cu imaginația celor care nasc tot felul de năzbâtii, tot felul de inepții, le aruncă în spațiul public și ele se difuzează și unii oameni le cred.	Eu nu am propus să fie grațiați corupții. Am văzut că proiectul de lege mi-ar aparține mie, că eu am făcut amendamente pentru a fi grațiați corupții. Repet, mi-e foarte greu să lupt cu imaginația celor care nasc tot felul de năzbâtii, tot felul de inepții, le aruncă în spațiul public și ele se difuzează și unii oameni le cred.	FALS	Șerban Nicolae	Justitie
E o taxă prevăzută la nivelul Comisiei Europene, nu e o taxă nouă pe care o instituie Guvernul. [...] Există o directivă europeană care ne obligă să aplicăm un anumit procent fondului de salarii şi această taxă nu poate fi eliminată sub nicio formă, fiind stabilită printr-o directivă europeană. La această taxă mă refer şi la o parte din contribuţii, care vor trece în interiorul acesteia, ele se vor cumula. [...] Este o directivă europeană care reglementează pentru fondul de salarii o anumită taxă, nu numai mediului privat, şi sistemului public. 0,25 este valoarea exactă a taxei. O plăteşte angajatorul la fondul de salarii. Au fost foarte multe discuţii cu sindicatele care spuneau că nu va rămâne nicio responsabilitate în sarcina angajatorului, dacă el trebuie să plătească pentru angajat, dar el nu va fi responsabil din acest punct de vedere, va crea o problemă angajatului în sine. Lăsaţi taxe şi la nivelul angajatorului [...]. Şi atunci am zis OK, transferăm o parte din aceste contribuţii să rămână şi la nivelul angajatorului, să aibă şi el o responsabilitate din acest punct de vedere în relaţia cu bugetul de stat.	E o taxă prevăzută la nivelul Comisiei Europene, nu e o taxă nouă pe care o instituie Guvernul. [...] Există o directivă europeană care ne obligă să aplicăm un anumit procent fondului de salarii şi această taxă nu poate fi eliminată sub nicio formă, fiind stabilită printr-o directivă europeană. La această taxă mă refer şi la o parte din contribuţii, care vor trece în interiorul acesteia, ele se vor cumula. [...] Este o directivă europeană care reglementează pentru fondul de salarii o anumită taxă, nu numai mediului privat, şi sistemului public. 0,25 este valoarea exactă a taxei. O plăteşte angajatorul la fondul de salarii. Au fost foarte multe discuţii cu sindicatele care spuneau că nu va rămâne nicio responsabilitate în sarcina angajatorului, dacă el trebuie să plătească pentru angajat, dar el nu va fi responsabil din acest punct de vedere, va crea o problemă angajatului în sine. Lăsaţi taxe şi la nivelul angajatorului [...]. Şi atunci am zis OK, transferăm o parte din aceste contribuţii să rămână şi la nivelul angajatorului, să aibă şi el o responsabilitate din acest punct de vedere în relaţia cu bugetul de stat.	PARȚIAL FALS	Ionuț Mișa	Finante
Scumpirea carburanților a fost cauza principală care a generat alte scumpiri. Din nou, cifrele INS vorbesc de la sine: în septembrie față de august, România a înregistrat cea mai mare creștere de prețuri din ultimul an (0,50%).  [...] Inflația s-a reaprins și a ajuns la cel mai mare nivel al ultimilor doi ani. Veniturile românilor sunt erodate zi de zi, măririle salariale de pe hârtie se dovedesc o cacealma.	Scumpirea carburanților a fost cauza principală care a generat alte scumpiri. Din nou, cifrele INS vorbesc de la sine: în septembrie față de august, România a înregistrat cea mai mare creștere de prețuri din ultimul an (0,50%).  […] Inflația s-a reaprins și a ajuns la cel mai mare nivel al ultimilor doi ani. Veniturile românilor sunt erodate zi de zi, măririle salariale de pe hârtie se dovedesc o cacealma.	ADEVĂRAT	Raluca Turcan	Economie
